date,distractability,anxiety,depression,happiness
2013-06-25 00:10, 3.8, 4.0, 5.1, 7.3
2013-06-25 10:39, 4.4, 3.4, 4.8, 7.3
2013-06-25 12:46, 4.5, 4.5, 5.0, 7.0
2013-06-25 15:06, 3.9, 3.7, 4.8, 7.2
2013-06-25 18:58, 4.1, 3.8, 4.6, 7.5
2013-06-25 21:56, 3.5, 3.7, 4.1, 7.8
2013-06-26 05:21, 3.6, 4.0, 3.8, 7.8
2013-06-26 14:55, 4.0, 3.5, 4.0, 7.5
2013-06-27 13:25, 3.2, 4.5, 3.0, 7.9
2013-06-27 18:36, 3.1, 4.0, 3.2, 8.0
2013-06-27 21:34, 3.4, 3.8, 3.7, 7.9
2013-06-28 02:05, 3.0, 3.3, 3.2, 8.1
2013-06-28 04:01, 2.8, 3.3, 2.8, 8.2
2013-06-28 15:13, 3.5, 3.1, 3.3, 8.0
2013-06-28 17:29, 3.3, 3.2, 3.1, 8.3
2013-06-28 19:58, 3.5, 3.6, 4.0, 8.1
2013-06-29 00:11, 4.5, 4.4, 4.6, 7.7
2013-06-29 01:41, 4.3, 3.6, 3.8, 8.0
2013-06-29 03:42, 4.2, 3.8, 3.7, 8.2
2013-06-30 13:10, 3.9, 3.6, 3.5, 8.0
2013-06-30 15:23, 4.0, 3.9, 3.6, 8.0
2013-07-01 02:00, 3.8, 3.4, 3.1, 8.3
2013-07-01 05:01, 3.9, 3.8, 3.2, 8.3
2013-07-01 15:18, 3.9, 3.5, 3.2, 8.0
2013-07-01 17:49, 4.0, 3.8, 3.5, 7.8
2013-07-02 01:48, 3.5, 4.0, 3.1, 8.0
2013-07-02 19:56, 4.3, 4.6, 3.2, 7.8
2013-07-02 21:26, 4.5, 4.3, 3.2, 7.8
2013-07-03 05:02, 4.5, 4.9, 4.4, 7.1
2013-07-04 02:52, 4.5, 4.0, 3.8, 8.0
2013-07-04 23:03, 3.6, 3.0, 3.7, 7.7
2013-07-06 05:45, 3.8, 3.1, 3.3, 7.8
2013-07-06 17:41, 3.7, 3.2, 3.8, 7.3
2013-07-06 19:01, 3.7, 3.9, 3.9, 7.2
2013-07-06 20:11, 3.8, 3.9, 3.4, 7.6
2013-07-07 00:17, 3.6, 3.6, 3.9, 7.1
2013-07-07 03:57, 4.0, 3.4, 3.5, 7.5
2013-07-08 02:23, 4.1, 3.5, 3.4, 7.6
2013-07-08 17:26, 4.8, 3.5, 3.6, 7.1
2013-07-09 08:25, 5.5, 3.7, 4.2, 6.7
2013-07-09 16:49, 4.6, 3.4, 4.0, 7.0
2013-07-10 02:28, 4.4, 3.8, 4.3, 6.8
2013-07-10 06:17, 4.5, 3.5, 4.0, 7.2
2013-07-10 21:09, 4.2, 3.2, 3.8, 7.1
2013-07-11 03:35, 4.3, 3.4, 3.7, 7.3
2013-07-11 20:04, 4.7, 5.0, 4.4, 7.0
2013-07-12 03:00, 4.1, 4.4, 4.6, 6.3
2013-07-12 04:47, 3.6, 4.0, 4.5, 6.7
2013-07-12 23:00, 4.4, 3.9, 4.1, 7.6
2013-07-13 02:55, 3.6, 7.3, 5.4, 6.9
2013-07-13 10:18, 3.9, 6.0, 5.2, 6.4
2013-07-13 19:56, 3.7, 7.2, 5.8, 6.8
2013-07-14 02:20, 4.4, 6.1, 5.3, 7.1
2013-07-14 18:10, 4.3, 6.3, 5.4, 7.0
2013-07-14 21:54, 4.5, 6.6, 5.3, 7.1
2013-07-15 15:06, 4.7, 6.8, 5.1, 6.6
2013-07-15 20:06, 4.9, 5.4, 5.0, 7.0
2013-07-16 05:12, 4.7, 5.4, 4.9, 7.0
2013-07-16 18:21, 4.4, 4.3, 4.5, 7.1
2013-07-17 13:33, 4.8, 5.6, 5.0, 7.5
2013-07-18 22:25, 4.7, 4.4, 4.0, 7.6
2013-07-19 02:07, 4.4, 4.8, 4.2, 7.5
2013-07-19 17:06, 4.6, 5.0, 4.1, 7.5
2013-07-20 13:37, 4.9, 4.8, 4.0, 7.7
2013-07-20 22:48, 4.7, 4.6, 4.0, 7.6
2013-07-22 02:29, 6.1, 4.2, 4.0, 8.5
2013-07-22 17:40, 5.8, 4.4, 3.9, 8.5
2013-07-23 04:06, 5.2, 3.9, 4.0, 8.0
2013-07-24 17:46, 6.0, 4.2, 4.4, 8.1
2013-07-25 02:42, 5.0, 4.1, 4.3, 8.0
2013-07-25 16:19, 4.7, 3.9, 4.0, 7.9
2013-07-26 14:28, 5.0, 7.0, 6.0, 5.5
2013-07-27 05:42, 6.5, 6.5, 5.5, 6.0
2013-07-28 15:43, 4.0, 4.5, 5.0, 6.5
2013-07-28 20:32, 4.0, 5.5, 5.5, 6.0
2013-07-29 07:49, 4.5, 4.0, 5.0, 6.5
2013-07-29 10:50, 5.0, 4.5, 5.5, 6.0
2013-07-30 02:19, 5.5, 4.5, 5.0, 6.5
2013-07-30 19:43, 5.0, 4.0, 6.0, 7.0
2013-07-30 21:51, 4.8, 4.0, 5.5, 7.0
2013-07-31 10:53, 4.5, 3.4, 5.0, 6.7
2013-07-31 16:55, 5.6, 3.8, 5.2, 7.5
2013-07-31 23:07, 4.5, 4.0, 5.2, 7.2
